frame_index,img_filename,img_timestamp_iso,imu_timestamp,imu_temp_c,imu_heading_deg,imu_roll_deg,imu_pitch_deg,imu_sys_cal,imu_gyro_cal,imu_accel_cal,imu_mag_cal,uwb_timestamp,uwb_distance_cm,uwb_azimuth_deg,uwb_elevation_deg,uwb_nlos_status
1,n1_20251202_073705_510.jpg,2025-12-02T07:37:05.510,2025-12-02T07:37:06.666,25,186.9375,0.25,-175.125,0,3,0,0,,,,,
2,n1_20251202_073706_823.jpg,2025-12-02T07:37:06.823,2025-12-02T07:37:07.910,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:07.872,103.0,-17.1,-2.4,0
3,n1_20251202_073708_026.jpg,2025-12-02T07:37:08.026,2025-12-02T07:37:09.090,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:08.942,114.0,-18.8,-3.8,0
4,n1_20251202_073709_186.jpg,2025-12-02T07:37:09.186,2025-12-02T07:37:10.249,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:10.248,109.0,-17.8,-3.6,0
5,n1_20251202_073710_344.jpg,2025-12-02T07:37:10.344,2025-12-02T07:37:11.407,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:10.670,112.0,-17.9,-3.5,0
6,n1_20251202_073711_503.jpg,2025-12-02T07:37:11.503,2025-12-02T07:37:12.572,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:10.670,112.0,-17.9,-3.5,0
7,n1_20251202_073712_641.jpg,2025-12-02T07:37:12.641,2025-12-02T07:37:13.706,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:10.670,112.0,-17.9,-3.5,0
8,n1_20251202_073713_786.jpg,2025-12-02T07:37:13.786,2025-12-02T07:37:14.852,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:10.670,112.0,-17.9,-3.5,0
9,n1_20251202_073714_927.jpg,2025-12-02T07:37:14.927,2025-12-02T07:37:15.977,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:10.670,112.0,-17.9,-3.5,0
10,n1_20251202_073716_042.jpg,2025-12-02T07:37:16.042,2025-12-02T07:37:17.128,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:10.670,112.0,-17.9,-3.5,0
11,n1_20251202_073717_196.jpg,2025-12-02T07:37:17.196,2025-12-02T07:37:18.254,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:18.215,110.0,-22.3,-4.7,0
12,n1_20251202_073718_325.jpg,2025-12-02T07:37:18.325,2025-12-02T07:37:19.409,25,186.9375,0.25,-175.125,0,3,0,0,2025-12-02T07:37:19.300,114.0,-20.6,-1.5,0
