frame_index,img_filename,img_timestamp_iso,imu_timestamp,imu_temp_c,imu_heading_deg,imu_roll_deg,imu_pitch_deg,imu_sys_cal,imu_gyro_cal,imu_accel_cal,imu_mag_cal,uwb_timestamp,uwb_distance_cm,uwb_azimuth_deg,uwb_elevation_deg,uwb_nlos_status
1,n1_20251201_070600_318.jpg,2025-12-01T07:06:00.318,2025-12-01T07:06:01.460,23,223.5,0.875,-177.6875,2,3,0,0,,,,,
2,n1_20251201_070601_794.jpg,2025-12-01T07:06:01.794,2025-12-01T07:06:02.927,23,223.5,0.875,-177.6875,2,3,0,0,2025-12-01T07:06:01.899,93.0,60.0,2.3,0
3,n1_20251201_070603_194.jpg,2025-12-01T07:06:03.194,2025-12-01T07:06:04.319,23,223.5,0.875,-177.6875,2,3,0,0,2025-12-01T07:06:04.167,94.0,60.0,2.1,0
4,n1_20251201_070604_558.jpg,2025-12-01T07:06:04.558,2025-12-01T07:06:05.608,23,223.5,0.875,-177.6875,2,3,0,0,2025-12-01T07:06:05.474,97.0,60.0,2.8,0
5,n1_20251201_070605_865.jpg,2025-12-01T07:06:05.865,2025-12-01T07:06:06.872,23,223.5,0.8125,-177.6875,2,3,0,0,2025-12-01T07:06:06.764,94.0,60.0,0.9,0
6,n1_20251201_070607_121.jpg,2025-12-01T07:06:07.121,2025-12-01T07:06:08.130,24,223.5,0.8125,-177.6875,2,3,0,0,2025-12-01T07:06:08.071,96.0,60.0,0.4,0
7,n1_20251201_070608_388.jpg,2025-12-01T07:06:08.388,2025-12-01T07:06:09.394,24,223.5,0.8125,-177.6875,2,3,0,0,2025-12-01T07:06:09.366,97.0,60.0,0.9,0
8,n1_20251201_070609_654.jpg,2025-12-01T07:06:09.654,2025-12-01T07:06:10.667,23,223.5,0.8125,-177.6875,2,3,0,0,2025-12-01T07:06:09.805,95.0,60.0,0.2,0
9,n1_20251201_070610_908.jpg,2025-12-01T07:06:10.908,2025-12-01T07:06:11.905,24,223.5,0.8125,-177.6875,2,3,0,0,2025-12-01T07:06:11.090,98.0,60.0,1.3,0
10,n1_20251201_070612_143.jpg,2025-12-01T07:06:12.143,2025-12-01T07:06:13.125,23,223.5,0.875,-177.6875,2,3,0,0,2025-12-01T07:06:13.127,90.0,60.0,1.2,1
11,n1_20251201_070613_383.jpg,2025-12-01T07:06:13.383,2025-12-01T07:06:14.374,24,223.375,1.0,-177.6875,2,3,0,0,2025-12-01T07:06:14.201,91.0,60.0,3.6,1
12,n1_20251201_070614_617.jpg,2025-12-01T07:06:14.617,2025-12-01T07:06:15.601,23,223.375,1.0,-177.6875,2,3,0,0,2025-12-01T07:06:15.498,89.0,60.0,4.2,1
13,n1_20251201_070615_838.jpg,2025-12-01T07:06:15.838,2025-12-01T07:06:16.873,23,223.375,0.9375,-177.6875,2,3,0,0,2025-12-01T07:06:15.498,89.0,60.0,4.2,1
14,n1_20251201_070617_148.jpg,2025-12-01T07:06:17.148,2025-12-01T07:06:18.149,24,223.375,0.9375,-177.6875,3,3,0,0,2025-12-01T07:06:18.112,89.0,60.0,3.4,0
15,n1_20251201_070618_371.jpg,2025-12-01T07:06:18.371,2025-12-01T07:06:19.377,24,223.375,0.9375,-177.6875,2,3,0,0,2025-12-01T07:06:19.187,100.0,60.0,2.2,0
16,n1_20251201_070619_592.jpg,2025-12-01T07:06:19.592,2025-12-01T07:06:20.598,23,223.375,0.9375,-177.6875,2,3,0,0,2025-12-01T07:06:20.479,84.0,47.2,-1.7,0
17,n1_20251201_070620_798.jpg,2025-12-01T07:06:20.798,2025-12-01T07:06:21.827,24,223.375,0.9375,-177.6875,2,3,0,0,2025-12-01T07:06:20.479,84.0,47.2,-1.7,0
18,n1_20251201_070622_033.jpg,2025-12-01T07:06:22.033,2025-12-01T07:06:23.078,23,223.375,1.0,-177.6875,2,3,0,0,2025-12-01T07:06:23.037,99.0,60.0,-12.0,1
19,n1_20251201_070623_303.jpg,2025-12-01T07:06:23.303,2025-12-01T07:06:24.324,24,223.375,1.0,-177.6875,2,3,0,0,2025-12-01T07:06:24.112,149.0,-60.0,-21.5,1
20,n1_20251201_070624_560.jpg,2025-12-01T07:06:24.560,2025-12-01T07:06:25.575,24,223.375,1.0,-177.6875,2,3,0,0,2025-12-01T07:06:25.413,157.0,-60.0,-18.8,1
21,n1_20251201_070625_800.jpg,2025-12-01T07:06:25.800,2025-12-01T07:06:26.838,23,223.375,1.0,-177.6875,2,3,0,0,2025-12-01T07:06:26.498,174.0,-60.0,-19.4,1
22,n1_20251201_070627_004.jpg,2025-12-01T07:06:27.004,2025-12-01T07:06:28.033,24,223.375,1.0,-177.6875,2,3,0,0,2025-12-01T07:06:27.991,182.0,-60.0,-19.0,1
23,n1_20251201_070628_212.jpg,2025-12-01T07:06:28.212,2025-12-01T07:06:29.225,24,223.375,1.0,-177.6875,2,3,0,0,2025-12-01T07:06:29.071,195.0,60.0,-3.4,1
24,n1_20251201_070629_404.jpg,2025-12-01T07:06:29.404,2025-12-01T07:06:30.440,23,223.375,1.0,-177.6875,2,3,0,0,2025-12-01T07:06:30.368,192.0,-60.0,-27.6,1
25,n1_20251201_070630_636.jpg,2025-12-01T07:06:30.636,2025-12-01T07:06:31.672,23,223.375,1.0,-177.6875,2,3,0,0,2025-12-01T07:06:31.015,195.0,-60.0,-27.9,1
