frame_index,img_filename,img_timestamp_iso,imu_timestamp,imu_temp_c,imu_heading_deg,imu_roll_deg,imu_pitch_deg,imu_sys_cal,imu_gyro_cal,imu_accel_cal,imu_mag_cal,uwb_timestamp,uwb_distance_cm,uwb_azimuth_deg,uwb_elevation_deg,uwb_nlos_status
1,node2_20251202_083740_005.jpg,2025-12-02T08:37:40.005,2025-12-02T08:37:41.143,25,209.0,4.3125,-163.0,0,3,0,0,,,,,
2,node2_20251202_083741_293.jpg,2025-12-02T08:37:41.293,2025-12-02T08:37:42.408,25,209.0,4.3125,-163.0,0,3,1,0,,,,,
3,node2_20251202_083742_518.jpg,2025-12-02T08:37:42.518,2025-12-02T08:37:43.640,25,209.0,4.3125,-163.0,0,3,1,0,2025-12-02T08:37:43.434,122.0,0.2,-2.6,0
4,node2_20251202_083743_775.jpg,2025-12-02T08:37:43.775,2025-12-02T08:37:44.881,25,209.0,4.3125,-163.0,0,3,1,0,2025-12-02T08:37:44.719,127.0,0.0,-1.7,0
5,node2_20251202_083744_976.jpg,2025-12-02T08:37:44.976,2025-12-02T08:37:46.089,25,209.0,4.3125,-163.0,0,3,1,0,2025-12-02T08:37:46.025,122.0,1.6,-1.4,0
6,node2_20251202_083746_185.jpg,2025-12-02T08:37:46.185,2025-12-02T08:37:47.257,25,209.0,4.3125,-163.0,0,3,1,0,2025-12-02T08:37:46.025,122.0,1.6,-1.4,0
7,node2_20251202_083747_343.jpg,2025-12-02T08:37:47.343,2025-12-02T08:37:48.389,25,208.5625,4.4375,-163.0,0,3,1,0,2025-12-02T08:37:46.025,122.0,1.6,-1.4,0
8,node2_20251202_083748_474.jpg,2025-12-02T08:37:48.474,2025-12-02T08:37:49.494,25,203.5625,4.6875,-162.875,0,3,1,0,2025-12-02T08:37:46.025,122.0,1.6,-1.4,0
9,node2_20251202_083749_577.jpg,2025-12-02T08:37:49.577,2025-12-02T08:37:50.609,25,203.875,4.6875,-162.9375,0,3,1,0,2025-12-02T08:37:46.025,122.0,1.6,-1.4,0
10,node2_20251202_083750_702.jpg,2025-12-02T08:37:50.702,2025-12-02T08:37:51.725,25,203.875,4.625,-162.9375,0,3,1,0,2025-12-02T08:37:46.025,122.0,1.6,-1.4,0
11,node2_20251202_083751_789.jpg,2025-12-02T08:37:51.789,2025-12-02T08:37:52.809,25,203.875,4.625,-162.9375,0,3,1,0,2025-12-02T08:37:46.025,122.0,1.6,-1.4,0
12,node2_20251202_083752_877.jpg,2025-12-02T08:37:52.877,2025-12-02T08:37:54.004,25,184.25,4.8125,-162.4375,0,3,1,0,2025-12-02T08:37:53.796,118.0,14.3,1.2,0
13,node2_20251202_083754_027.jpg,2025-12-02T08:37:54.027,2025-12-02T08:37:55.118,25,184.1875,4.6875,-162.5,0,3,1,0,2025-12-02T08:37:55.095,118.0,14.6,1.0,0
14,node2_20251202_083755_192.jpg,2025-12-02T08:37:55.192,2025-12-02T08:37:56.326,25,184.1875,4.625,-162.5625,0,3,1,0,2025-12-02T08:37:56.169,120.0,14.0,1.0,0
15,node2_20251202_083756_406.jpg,2025-12-02T08:37:56.406,2025-12-02T08:37:57.485,25,203.1875,3.9375,-163.25,0,3,1,0,2025-12-02T08:37:57.475,106.0,4.3,2.7,0
16,node2_20251202_083757_506.jpg,2025-12-02T08:37:57.506,2025-12-02T08:37:58.590,25,204.625,4.0,-163.0,0,3,1,0,2025-12-02T08:37:57.898,105.0,7.5,3.7,0
