frame_index,img_filename,img_timestamp_iso,imu_timestamp,imu_temp_c,imu_heading_deg,imu_roll_deg,imu_pitch_deg,imu_sys_cal,imu_gyro_cal,imu_accel_cal,imu_mag_cal,uwb_timestamp,uwb_distance_cm,uwb_azimuth_deg,uwb_elevation_deg,uwb_nlos_status
1,n2_20251201_070559_323.jpg,2025-12-01T07:05:59.323,2025-12-01T07:06:02.029,23,200.25,3.125,-162.1875,0,3,1,0,2025-12-01T07:06:01.882,93.0,-9.6,-7.0,0
2,n2_20251201_070602_173.jpg,2025-12-01T07:06:02.173,2025-12-01T07:06:03.339,23,200.25,3.125,-162.1875,0,3,1,0,2025-12-01T07:06:03.319,96.0,-8.9,-7.4,0
3,n2_20251201_070603_443.jpg,2025-12-01T07:06:03.443,2025-12-01T07:06:04.557,23,200.25,3.125,-162.1875,0,3,1,0,2025-12-01T07:06:04.398,97.0,-9.6,-7.2,0
4,n2_20251201_070604_671.jpg,2025-12-01T07:06:04.671,2025-12-01T07:06:05.752,23,200.25,3.125,-162.1875,0,3,1,0,2025-12-01T07:06:04.398,97.0,-9.6,-7.2,0
5,n2_20251201_070605_845.jpg,2025-12-01T07:06:05.845,2025-12-01T07:06:06.929,23,200.25,3.125,-162.1875,0,3,1,0,2025-12-01T07:06:04.398,97.0,-9.6,-7.2,0
6,n2_20251201_070607_011.jpg,2025-12-01T07:06:07.011,2025-12-01T07:06:08.098,23,200.25,3.125,-162.1875,0,3,1,0,2025-12-01T07:06:04.398,97.0,-9.6,-7.2,0
7,n2_20251201_070608_167.jpg,2025-12-01T07:06:08.167,2025-12-01T07:06:09.257,23,200.25,3.125,-162.1875,0,3,1,0,2025-12-01T07:06:04.398,97.0,-9.6,-7.2,0
8,n2_20251201_070609_318.jpg,2025-12-01T07:06:09.318,2025-12-01T07:06:10.410,23,200.25,3.125,-162.1875,0,3,1,0,2025-12-01T07:06:04.398,97.0,-9.6,-7.2,0
9,n2_20251201_070610_475.jpg,2025-12-01T07:06:10.475,2025-12-01T07:06:11.585,23,200.25,3.125,-162.1875,0,3,1,0,2025-12-01T07:06:11.089,98.0,-9.6,-8.1,0
10,n2_20251201_070611_655.jpg,2025-12-01T07:06:11.655,2025-12-01T07:06:12.772,23,200.25,3.1875,-162.125,0,3,1,0,2025-12-01T07:06:12.684,93.0,-10.4,-10.2,0
11,n2_20251201_070612_836.jpg,2025-12-01T07:06:12.836,2025-12-01T07:06:13.922,23,200.25,3.1875,-162.125,0,3,1,0,2025-12-01T07:06:13.765,90.0,-11.2,-10.7,1
12,n2_20251201_070613_991.jpg,2025-12-01T07:06:13.991,2025-12-01T07:06:15.083,23,200.25,3.1875,-162.125,0,3,1,0,2025-12-01T07:06:14.842,91.0,-9.4,-11.9,0
13,n2_20251201_070615_157.jpg,2025-12-01T07:06:15.157,2025-12-01T07:06:16.265,23,200.25,3.1875,-162.1875,0,3,1,0,2025-12-01T07:06:14.842,91.0,-9.4,-11.9,0
14,n2_20251201_070616_331.jpg,2025-12-01T07:06:16.331,2025-12-01T07:06:17.407,23,200.25,3.1875,-162.1875,0,3,1,0,2025-12-01T07:06:14.842,91.0,-9.4,-11.9,0
15,n2_20251201_070617_470.jpg,2025-12-01T07:06:17.470,2025-12-01T07:06:18.527,23,200.125,2.8125,-162.25,0,3,1,0,2025-12-01T07:06:14.842,91.0,-9.4,-11.9,0
16,n2_20251201_070618_585.jpg,2025-12-01T07:06:18.585,2025-12-01T07:06:19.645,23,215.5625,1.625,-165.125,0,3,1,0,2025-12-01T07:06:14.842,91.0,-9.4,-11.9,0
17,n2_20251201_070619_709.jpg,2025-12-01T07:06:19.709,2025-12-01T07:06:20.775,23,223.0,12.5,-166.5,0,3,1,0,2025-12-01T07:06:14.842,91.0,-9.4,-11.9,0
18,n2_20251201_070620_846.jpg,2025-12-01T07:06:20.846,2025-12-01T07:06:21.870,23,237.9375,15.9375,-169.4375,0,3,1,1,2025-12-01T07:06:14.842,91.0,-9.4,-11.9,0
19,n2_20251201_070621_931.jpg,2025-12-01T07:06:21.931,2025-12-01T07:06:22.968,23,233.4375,7.625,-163.4375,0,3,1,1,2025-12-01T07:06:22.811,119.0,-21.1,-0.9,0
20,n2_20251201_070623_039.jpg,2025-12-01T07:06:23.039,2025-12-01T07:06:24.092,23,235.875,2.4375,-158.375,0,3,1,1,2025-12-01T07:06:23.900,127.0,-0.1,-3.0,1
21,n2_20251201_070624_205.jpg,2025-12-01T07:06:24.205,2025-12-01T07:06:25.258,23,239.5,4.5625,-158.0,0,3,1,1,2025-12-01T07:06:25.196,161.0,2.7,-0.6,1
22,n2_20251201_070625_329.jpg,2025-12-01T07:06:25.329,2025-12-01T07:06:26.435,23,241.5625,3.75,-159.0625,0,3,1,1,2025-12-01T07:06:25.418,157.0,3.3,0.4,1
23,n2_20251201_070626_515.jpg,2025-12-01T07:06:26.515,2025-12-01T07:06:27.573,23,240.0,6.5,-156.8125,0,3,1,1,2025-12-01T07:06:25.418,157.0,3.3,0.4,1
24,n2_20251201_070627_645.jpg,2025-12-01T07:06:27.645,2025-12-01T07:06:28.704,23,240.5,0.75,-160.375,0,3,1,1,2025-12-01T07:06:25.418,157.0,3.3,0.4,1
25,n2_20251201_070628_776.jpg,2025-12-01T07:06:28.776,2025-12-01T07:06:29.827,23,227.8125,1.375,-164.5,0,3,1,1,2025-12-01T07:06:25.418,157.0,3.3,0.4,1
26,n2_20251201_070629_848.jpg,2025-12-01T07:06:29.848,2025-12-01T07:06:30.902,23,218.875,0.125,-162.8125,0,3,1,1,2025-12-01T07:06:25.418,157.0,3.3,0.4,1
27,n2_20251201_070630_925.jpg,2025-12-01T07:06:30.925,2025-12-01T07:06:31.996,23,229.9375,-1.6875,-161.3125,0,3,1,1,2025-12-01T07:06:25.418,157.0,3.3,0.4,1
28,n2_20251201_070632_017.jpg,2025-12-01T07:06:32.017,2025-12-01T07:06:33.083,23,215.625,10.5,-160.125,0,3,1,1,2025-12-01T07:06:32.872,171.0,17.2,-2.0,0
29,n2_20251201_070633_104.jpg,2025-12-01T07:06:33.104,2025-12-01T07:06:34.149,24,256.375,5.8125,-157.625,0,3,1,1,2025-12-01T07:06:33.946,218.0,-15.0,-2.7,1
30,n2_20251201_070634_175.jpg,2025-12-01T07:06:34.175,2025-12-01T07:06:35.228,23,297.25,5.3125,-158.0,0,3,1,1,2025-12-01T07:06:35.027,410.0,-30.7,4.7,1
31,n2_20251201_070635_247.jpg,2025-12-01T07:06:35.247,2025-12-01T07:06:36.290,23,286.5,-6.6875,-160.0625,0,3,1,1,2025-12-01T07:06:36.107,568.0,1.6,-9.0,1
32,n2_20251201_070636_309.jpg,2025-12-01T07:06:36.309,2025-12-01T07:06:37.399,23,281.25,-3.125,-163.5,0,3,1,1,2025-12-01T07:06:36.333,523.0,-25.4,11.2,1
33,n2_20251201_070637_424.jpg,2025-12-01T07:06:37.424,2025-12-01T07:06:38.459,23,283.75,1.25,-161.625,0,3,1,1,2025-12-01T07:06:36.333,523.0,-25.4,11.2,1
34,n2_20251201_070638_479.jpg,2025-12-01T07:06:38.479,2025-12-01T07:06:39.522,23,283.5,2.125,-162.0625,0,3,1,1,2025-12-01T07:06:36.333,523.0,-25.4,11.2,1
35,n2_20251201_070639_543.jpg,2025-12-01T07:06:39.543,2025-12-01T07:06:40.575,23,283.5625,2.375,-162.125,0,3,1,1,2025-12-01T07:06:36.333,523.0,-25.4,11.2,1
36,n2_20251201_070640_596.jpg,2025-12-01T07:06:40.596,2025-12-01T07:06:41.630,23,283.5625,2.375,-162.125,0,3,1,1,2025-12-01T07:06:36.333,523.0,-25.4,11.2,1
37,n2_20251201_070641_654.jpg,2025-12-01T07:06:41.654,2025-12-01T07:06:42.711,23,283.5625,2.375,-162.125,0,3,1,1,2025-12-01T07:06:36.333,523.0,-25.4,11.2,1
38,n2_20251201_070642_737.jpg,2025-12-01T07:06:42.737,2025-12-01T07:06:43.802,24,283.5625,2.375,-162.125,0,3,1,1,2025-12-01T07:06:43.621,541.0,-15.4,5.4,1
39,n2_20251201_070643_827.jpg,2025-12-01T07:06:43.827,2025-12-01T07:06:44.899,23,283.5625,2.375,-162.125,0,3,1,1,2025-12-01T07:06:44.697,531.0,-15.2,0.9,1
40,n2_20251201_070644_924.jpg,2025-12-01T07:06:44.924,2025-12-01T07:06:45.995,23,283.5625,2.375,-162.125,0,3,1,1,2025-12-01T07:06:45.777,536.0,-15.6,-0.7,1
